,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,6.030988,2.309531,1.791603,0.374154,0.162179,0.145172,0.131621,0.136577,0.084820,0.077557,0.046494,0.052062,0.000000,0.052233,0.039380,0.054971,0.063458,0.062474,0.092748,0.089307,0.151485,0.344047,0.742727,4.311631
13,8.027153,3.441280,2.913761,1.829713,0.752316,1.114322,0.268507,0.107281,0.088907,0.084441,0.056869,0.059950,0.052233,0.000000,0.052098,0.040498,0.039709,0.046819,0.065162,0.074661,0.114116,0.257368,0.593153,3.380723
14,5.675988,2.663323,2.221888,0.996897,0.323827,0.125513,0.144562,0.141602,0.090913,0.085453,0.062685,0.049386,0.039380,0.052098,0.000000,0.036762,0.046123,0.044536,0.053608,0.069095,0.112326,0.234208,0.496832,2.521302
15,5.579895,3.606052,2.629098,1.608730,0.370891,0.247514,0.216020,0.152864,0.102179,0.093006,0.070913,0.058206,0.054971,0.040498,0.036762,0.000000,0.038684,0.045469,0.054402,0.065589,0.121939,0.185798,0.388576,2.239714
16,7.860924,4.862180,3.023110,2.457843,0.916280,0.922121,0.309317,0.181542,0.108695,0.104524,0.079495,0.067346,0.063458,0.039709,0.046123,0.038684,0.000000,0.038569,0.063421,0.057786,0.100172,0.156409,0.326645,2.041213
17,7.075829,3.320472,2.699297,2.770481,0.946302,0.726087,0.386259,0.166073,0.106072,0.101447,0.079628,0.073093,0.062474,0.046819,0.044536,0.045469,0.038569,0.000000,0.051471,0.060451,0.087716,0.126797,0.244492,1.338660
18,9.401995,3.941709,3.195339,2.004985,1.000279,0.317641,0.275252,0.174561,0.105914,0.146279,0.074022,0.085926,0.092748,0.065162,0.053608,0.054402,0.063421,0.051471,0.000000,0.063889,0.090600,0.114915,0.217742,0.649943
19,7.842897,4.355826,3.574972,3.165162,1.092064,0.838774,0.379020,0.174444,0.150389,0.131154,0.104337,0.107199,0.089307,0.074661,0.069095,0.065589,0.057786,0.060451,0.063889,0.000000,0.066667,0.057594,0.132495,0.509409
20,5.771157,4.099775,3.611681,3.177124,1.901987,0.961497,1.033913,0.467553,0.231263,0.163163,0.124823,0.149069,0.151485,0.114116,0.112326,0.121939,0.100172,0.087716,0.090600,0.066667,0.000000,0.044946,0.080644,0.277540
21,5.941389,5.053242,4.172320,4.719245,2.740294,1.933162,1.772961,1.035338,0.991277,0.647934,0.457177,0.397307,0.344047,0.257368,0.234208,0.185798,0.156409,0.126797,0.114915,0.057594,0.044946,0.000000,0.045595,0.210597
22,4.949893,4.603968,3.787450,4.196046,4.170515,4.396374,2.905119,2.107874,2.102993,1.595695,1.155535,0.918041,0.742727,0.593153,0.496832,0.388576,0.326645,0.244492,0.217742,0.132495,0.080644,0.045595,0.000000,0.132514
23,5.442207,3.983739,3.944889,3.862768,5.755664,4.778972,4.382559,4.726871,4.548340,4.453041,4.294771,4.099338,4.311631,3.380723,2.521302,2.239714,2.041213,1.338660,0.649943,0.509409,0.277540,0.210597,0.132514,0.000000
