rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
54,14,17,3,0.07078394249209688,0.3596031384246333,0.05931364343160492,0.17184144361503997
55,19,20,1,0.07127114312923834,0.5567953845157368,0.05351877127031699,0.2272814384252067
56,13,16,3,0.07232543544187671,0.41765482070864046,0.056374530205326,0.19450645485886717
57,18,20,2,0.07262730894364872,0.5934518761776718,0.05336406145816782,0.2086304257256144
58,13,17,4,0.07309632763276963,0.28035513135461104,0.060358414944524236,0.16987891845414502
59,11,15,4,0.07380446824352514,0.24532027766718104,0.06242686027663051,0.19417419361547625
60,7,12,5,0.07445666744821267,0.4027048020311169,0.06218367368324186,0.24663509775950138
61,14,18,4,0.07534122988098613,0.40178093551800625,0.05971425416697525,0.24225285974859345
62,21,22,1,0.075614952509409,0.753081294562046,0.051855570514513616,0.21865833860873238
63,5,10,5,0.07592358326882526,0.32027275731186555,0.05448793604834363,0.25444294931342115
64,17,19,2,0.07618371035001151,0.39136360695548356,0.06307811216040946,0.16933313798343874
65,9,14,5,0.07651986846227526,0.4447117712434259,0.05890070527922306,0.26677276727656624
66,12,17,5,0.07726146435546503,0.3503813360743043,0.06206242278858541,0.18581532648934068
67,12,16,4,0.07744188269012585,0.6339727523027168,0.05783186083835093,0.22464561841946343
68,17,20,3,0.07822785169280774,0.3404716086322291,0.061148543790917914,0.21492300788682764
69,10,15,5,0.07860541257508563,0.5406508684307363,0.06473201051186611,0.20926885034810586
70,16,19,3,0.07871286063512674,0.6044796264169509,0.06131972153547002,0.22498356083750126
71,5,11,6,0.07875386432876061,0.4966480120216501,0.06032142632911131,0.23620498140393423
72,12,18,6,0.08114953003008799,0.37389649908826367,0.06308449856298863,0.23599339170543882
73,19,21,2,0.08287793465750298,0.5960188622867012,0.061851815989584946,0.24204870209693466
74,6,12,6,0.084099084856089,0.6242894528581926,0.0635172997290494,0.26156918120592754
75,20,22,2,0.08468400071287532,0.3474036863537369,0.06356947516043404,0.24785400572808394
76,11,17,6,0.08486693060096916,0.3528112204831997,0.07359296785958382,0.20531334662315753
77,15,19,4,0.0850058622457445,0.5356500581233629,0.06994319791784263,0.22053466109691056
78,3,7,4,0.08536811708651851,0.6665262995995365,0.052440466880039165,0.2825727589776136
79,13,18,5,0.08560085021081953,0.3985708233704165,0.0728625083339397,0.1958010121355116
80,18,19,1,0.08636211302341854,3.126758121491502,0.05257528915257554,0.16825593776563616
81,22,23,1,0.08736639470782745,1.2022105614480185,0.06613043406801794,0.19683253003351045
82,11,16,5,0.08825380777470751,0.45165935956668146,0.07048932598508104,0.2527299447663864
83,16,20,4,0.08958008557868308,0.5342042950531329,0.07126433369929791,0.3425039238246257
84,4,10,6,0.08995597017858778,0.8739761371744686,0.05763695545538941,0.3122330171382716
85,10,16,6,0.0900087345220569,0.5159222398568518,0.07392569026381149,0.23714269741605365
86,9,15,6,0.09082157398866847,0.6266561690589041,0.07449078764224584,0.2957411702908705
87,8,13,5,0.09143341211054229,0.8336929042688471,0.06753234995608863,0.22343753905757488
88,10,17,7,0.09211807574983824,0.42806024575282775,0.07911866563735898,0.21799044062639586
89,11,18,7,0.09241052776249789,0.3658183980278986,0.08041236963324452,0.22825633397974296
90,10,18,8,0.0929236465235558,0.6536920331472086,0.0791758506692485,0.19403797542903423
91,18,21,3,0.09295695533474616,0.6728574879780175,0.068073211549981,0.29902069312057683
92,14,19,5,0.0935923023810695,0.6542036326250767,0.07566896851800306,0.314633921645126
93,4,11,7,0.09432737181754586,1.3281693128794403,0.06904029801788104,0.33407192259512186
94,15,20,5,0.09498350056667784,0.5601099735711512,0.07221294489282708,0.36207608738662683
95,7,13,6,0.09607766080108265,0.5049130486356053,0.07964528427794122,0.3031324707713781
96,5,12,7,0.09835711081689014,0.4614558028705565,0.0787542186311926,0.30198424202878743
97,8,14,6,0.09856360971981258,0.7986262569298821,0.07690168928793054,0.3445260407713727
98,13,19,6,0.09959233214567946,0.5431888235179275,0.08013663577141941,0.2554947953389916
99,17,21,4,0.10076640677759902,0.6177580065269254,0.08202998417935442,0.3050751186593593
100,4,12,8,0.10080347751860391,0.9193327385055465,0.07760762491575456,0.2743273624250881
101,9,16,7,0.10122270851423507,0.7077583111785036,0.08021808573697999,0.32730326912027774
102,9,17,8,0.10422218627975424,0.6430906429340422,0.0882973714148624,0.25571777214600566
103,12,19,7,0.104618962969841,0.738807212014536,0.08698985518791513,0.27013541877453306
104,14,20,6,0.105233429110072,0.8908597571363156,0.083101806449086,0.36679651514597833
105,8,15,7,0.10619938919023979,1.1150207569654669,0.08499901944539362,0.3651173577979448
106,6,13,7,0.10680583806322784,0.6761117926191518,0.08855393022938858,0.31304202869234093
107,9,18,9,0.1081968207918091,0.6078599915302976,0.090937386690463,0.29076596972060376
108,13,20,7,0.1087863358368495,0.8584684300389033,0.08794775649116729,0.3260754404670119
109,12,20,8,0.1090134859652735,0.8179221771282893,0.08514072612308568,0.32913078336466356
110,7,14,7,0.10909671673750702,0.742073414534093,0.0892417007848851,0.35765306371040717
111,2,6,4,0.11186317140710875,2.925208211351017,0.058004219448205774,0.4285350266403559
112,8,18,10,0.11202265632480193,0.5072415006352655,0.09421056684609093,0.27429490991285566
113,7,15,8,0.11449855820165913,0.9142748692832536,0.09473547959170205,0.35663049672478114
114,8,16,8,0.11532790645158425,0.8261272510455979,0.0934077220270597,0.3940712000994242
115,8,17,9,0.11553851172952931,0.5175969034975314,0.09490264762257869,0.30753736346280774
116,6,14,8,0.117703069904463,0.8522695008012805,0.09069483432762744,0.3407992131464272
117,11,20,9,0.11929420880484076,0.6447496716004536,0.09934897162875628,0.3153479592388072
118,19,22,3,0.11967253865005126,0.7229920428226843,0.09504976392937917,0.41787315499148014
119,11,19,8,0.12005600267801157,0.6775237410862804,0.09403977991625519,0.32414122280516716
120,10,19,9,0.12133504435225312,1.0407468823730348,0.09986405790403094,0.3385886495447856
121,6,15,9,0.12284192300363733,0.9275209879030085,0.09810100995396498,0.3683263262139038
122,3,8,5,0.12339477156347717,1.078503845933372,0.07665931032476317,0.4343268036705947
123,16,21,5,0.12363218950035743,0.5067756139032163,0.09680230899582465,0.3790251400837066
124,2,7,5,0.12423712169344173,2.7971651779261677,0.07456195293372725,0.5711469898650331
125,7,18,11,0.12542911378387125,0.812344259142707,0.11296238161740742,0.3737428308623272
126,7,16,9,0.12892783278835113,0.6433959194269157,0.1018199537290655,0.46580590382943526
